,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
52,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17 00:00:00,Carmen
54,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09 00:00:00,Carmen
56,2004-01-23,Oficina,Alquiler,Lleida,54,512730,2004-07-04 00:00:00,Carmen
57,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21 00:00:00,María
58,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19 00:00:00,Joaquín
59,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28 00:00:00,Jesús
60,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12 00:00:00,Carmen
61,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23 00:00:00,Joaquín
64,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26 00:00:00,Luisa
65,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24 00:00:00,Pedro
68,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09 00:00:00,María
69,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12 00:00:00,María
70,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01 00:00:00,Carmen
71,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15 00:00:00,Carmen
72,2004-01-28,Parking,Alquiler,Barcelona,62,320044,2004-09-04 00:00:00,Joaquín
73,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22 00:00:00,Joaquín
75,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28 00:00:00,Pedro
76,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25 00:00:00,Pedro
78,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27 00:00:00,Carmen
79,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05 00:00:00,Carmen
80,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17 00:00:00,Pedro
81,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14 00:00:00,Pedro
83,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28 00:00:00,Carmen
84,2004-02-02,Local,Alquiler,Barcelona,127,925322,2004-06-03 00:00:00,Joaquín
85,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08 00:00:00,Jesús
89,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24 00:00:00,Pedro
90,2004-02-04,Industrial,Alquiler,Barcelona,123,723609,2004-12-16 00:00:00,Joaquín
92,2004-02-05,Industrial,Alquiler,Tarragona,132,922020,2004-10-23 00:00:00,Joaquín
94,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23 00:00:00,Joaquín
97,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01 00:00:00,Carmen
98,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22 00:00:00,María
102,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19 00:00:00,María
104,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02 00:00:00,Luisa
105,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26 00:00:00,Pedro
106,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13 00:00:00,Jesús
107,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20 00:00:00,Joaquín
108,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09 00:00:00,Pedro
109,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20 00:00:00,Luisa
110,2004-02-13,Suelo,Alquiler,Tarragona,162,954666,2004-11-25 00:00:00,Joaquín
111,2004-02-13,Local,Alquiler,Lleida,160,1064800,2004-09-22 00:00:00,Pedro
113,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11 00:00:00,Joaquín
114,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15 00:00:00,Carmen
116,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26 00:00:00,Joaquín
117,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10 00:00:00,Luisa
121,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05 00:00:00,Pedro
122,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30 00:00:00,Pedro
123,2004-02-18,Suelo,Alquiler,Tarragona,212,926228,2004-09-05 00:00:00,Joaquín
124,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25 00:00:00,Carmen
125,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31 00:00:00,María
126,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29 00:00:00,Jesús
127,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04 00:00:00,Luisa
128,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08 00:00:00,Carmen
129,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23 00:00:00,Luisa
130,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04 00:00:00,Carmen
131,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04 00:00:00,Jesús
133,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20 00:00:00,Joaquín
135,2004-02-23,Oficina,Alquiler,Lleida,105,624435,2004-06-24 00:00:00,Joaquín
138,2004-02-26,Local,Alquiler,Tarragona,63,533925,2004-09-22 00:00:00,Joaquín
139,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02 00:00:00,María
140,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31 00:00:00,Joaquín
141,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23 00:00:00,Pedro
142,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28 00:00:00,María
145,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20 00:00:00,Luisa
146,2004-02-28,Parking,Alquiler,Barcelona,76,734388,2004-05-28 00:00:00,Joaquín
148,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12 00:00:00,Luisa
149,2004-03-01,Casa,Alquiler,Lleida,212,1800516,2004-12-19 00:00:00,Jesús
150,2004-03-01,Oficina,Alquiler,Lleida,128,1259904,2004-10-02 00:00:00,Luisa
151,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13 00:00:00,María
154,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02 00:00:00,Pedro
155,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01 00:00:00,Pedro
156,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02 00:00:00,María
160,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29 00:00:00,Jesús
161,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16 00:00:00,Jesús
162,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23 00:00:00,Carmen
163,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13 00:00:00,Carmen
164,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11 00:00:00,Luisa
165,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29 00:00:00,Luisa
166,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14 00:00:00,Luisa
167,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15 00:00:00,Joaquín
168,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14 00:00:00,Jesús
169,2004-03-08,Suelo,Alquiler,Lleida,73,597286,2005-02-20 00:00:00,Joaquín
170,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13 00:00:00,Joaquín
172,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08 00:00:00,Joaquín
173,2004-03-09,Piso,Alquiler,Lleida,143,1131416,2004-08-25 00:00:00,Joaquín
174,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25 00:00:00,Carmen
175,2004-03-10,Industrial,Alquiler,Lleida,193,1658835,2004-08-30 00:00:00,Jesús
176,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01 00:00:00,Jesús
179,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21 00:00:00,Jesús
180,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11 00:00:00,Joaquín
181,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25 00:00:00,Joaquín
182,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02 00:00:00,Carmen
183,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24 00:00:00,Pedro
184,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27 00:00:00,María
187,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08 00:00:00,Carmen
188,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25 00:00:00,Jesús
190,2004-03-18,Suelo,Alquiler,Tarragona,71,431325,2004-07-23 00:00:00,Carmen
194,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21 00:00:00,Carmen
195,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10 00:00:00,Carmen
196,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13 00:00:00,Carmen
199,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26 00:00:00,Pedro
200,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09 00:00:00,Pedro
204,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04 00:00:00,Luisa
205,2004-03-23,Piso,Alquiler,Lleida,250,2253500,2005-02-21 00:00:00,Joaquín
206,2004-03-23,Piso,Alquiler,Lleida,134,1338124,2004-08-19 00:00:00,Luisa
207,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27 00:00:00,Pedro
208,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21 00:00:00,María
209,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03 00:00:00,Carmen
210,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11 00:00:00,Carmen
211,2004-03-25,Casa,Alquiler,Barcelona,63,492156,2004-10-25 00:00:00,Carmen
212,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19 00:00:00,Pedro
213,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26 00:00:00,Carmen
214,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13 00:00:00,Pedro
215,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02 00:00:00,María
216,2004-03-28,Industrial,Alquiler,Lleida,216,1398600,2004-11-03 00:00:00,Luisa
217,2004-03-29,Suelo,Alquiler,Tarragona,65,461435,2004-12-31 00:00:00,Carmen
219,2004-03-30,Industrial,Alquiler,Lleida,209,1042283,2004-09-17 00:00:00,Jesús
223,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21 00:00:00,Luisa
224,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15 00:00:00,Jesús
225,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29 00:00:00,Joaquín
226,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09 00:00:00,Luisa
227,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12 00:00:00,Jesús
228,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25 00:00:00,Carmen
229,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01 00:00:00,Pedro
231,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03 00:00:00,María
232,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05 00:00:00,Joaquín
233,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26 00:00:00,Carmen
235,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26 00:00:00,Carmen
236,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07 00:00:00,Pedro
238,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02 00:00:00,Pedro
239,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03 00:00:00,Luisa
240,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26 00:00:00,Carmen
242,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31 00:00:00,Luisa
243,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22 00:00:00,María
244,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07 00:00:00,Joaquín
245,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08 00:00:00,Jesús
246,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09 00:00:00,Jesús
248,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13 00:00:00,Joaquín
250,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22 00:00:00,Pedro
251,2004-04-09,Parking,Alquiler,Lleida,168,1622040,2004-10-15 00:00:00,María
255,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05 00:00:00,Carmen
256,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09 00:00:00,Carmen
257,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13 00:00:00,María
258,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26 00:00:00,Luisa
259,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09 00:00:00,Luisa
260,2004-04-12,Casa,Alquiler,Lleida,201,1107108,2005-04-07 00:00:00,Joaquín
261,2004-04-12,Casa,Alquiler,Barcelona,181,1449629,2004-09-14 00:00:00,Luisa
262,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06 00:00:00,María
263,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02 00:00:00,Jesús
265,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16 00:00:00,Jesús
266,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27 00:00:00,Carmen
269,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31 00:00:00,Joaquín
270,2004-04-15,Local,Alquiler,Lleida,237,1093281,2005-01-02 00:00:00,Jesús
271,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03 00:00:00,Carmen
272,2004-04-15,Piso,Alquiler,Lleida,120,722880,2005-02-14 00:00:00,Joaquín
273,2004-04-15,Piso,Alquiler,Lleida,113,1102880,2005-03-17 00:00:00,Jesús
274,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20 00:00:00,Pedro
275,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17 00:00:00,Pedro
276,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06 00:00:00,Jesús
277,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25 00:00:00,Carmen
278,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26 00:00:00,María
280,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13 00:00:00,Carmen
281,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28 00:00:00,Jesús
282,2004-04-18,Oficina,Alquiler,Tarragona,137,1336298,2004-11-27 00:00:00,Pedro
283,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20 00:00:00,Luisa
286,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22 00:00:00,Jesús
289,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27 00:00:00,Jesús
290,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11 00:00:00,Pedro
293,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18 00:00:00,Carmen
295,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28 00:00:00,Pedro
296,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28 00:00:00,Pedro
298,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16 00:00:00,Joaquín
299,2004-04-23,Suelo,Alquiler,Tarragona,85,683230,2005-02-06 00:00:00,Carmen
300,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12 00:00:00,Carmen
301,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22 00:00:00,Pedro
302,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30 00:00:00,Carmen
303,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16 00:00:00,Pedro
304,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18 00:00:00,Joaquín
305,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28 00:00:00,Jesús
306,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14 00:00:00,Carmen
307,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16 00:00:00,Carmen
308,2004-04-28,Piso,Alquiler,Lleida,237,1763517,2004-09-06 00:00:00,Luisa
310,2004-04-28,Suelo,Venta,Lleida,61,605425,2004-12-29 00:00:00,Carmen
311,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07 00:00:00,Luisa
313,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21 00:00:00,Joaquín
314,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14 00:00:00,Joaquín
315,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07 00:00:00,Carmen
316,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26 00:00:00,Jesús
319,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04 00:00:00,María
322,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15 00:00:00,María
323,2004-05-04,Suelo,Alquiler,Barcelona,155,876060,2004-12-31 00:00:00,Carmen
324,2004-05-04,Piso,Venta,Girona,60,332400,2004-08-30 00:00:00,Joaquín
325,2004-05-04,Industrial,Alquiler,Barcelona,179,1227224,2004-10-08 00:00:00,Luisa
326,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28 00:00:00,Jesús
327,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17 00:00:00,Jesús
328,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11 00:00:00,María
329,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26 00:00:00,Pedro
333,2004-05-07,Industrial,Alquiler,Tarragona,242,2110966,2005-01-22 00:00:00,Pedro
334,2004-05-07,Piso,Venta,Lleida,148,634920,2005-04-27 00:00:00,Joaquín
335,2004-05-07,Local,Alquiler,Tarragona,227,1394461,2005-01-28 00:00:00,María
337,2004-05-08,Oficina,Alquiler,Barcelona,41,361661,2005-01-28 00:00:00,Carmen
338,2004-05-09,Suelo,Alquiler,Girona,75,683175,2004-09-04 00:00:00,Joaquín
340,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02 00:00:00,Pedro
341,2004-05-10,Local,Alquiler,Lleida,259,1992228,2004-12-21 00:00:00,Pedro
342,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12 00:00:00,Luisa
343,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19 00:00:00,Jesús
344,2004-05-11,Industrial,Alquiler,Tarragona,131,1263495,2005-01-01 00:00:00,Jesús
345,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23 00:00:00,Pedro
346,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18 00:00:00,Carmen
347,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26 00:00:00,Joaquín
348,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01 00:00:00,María
351,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10 00:00:00,Luisa
352,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14 00:00:00,Carmen
353,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30 00:00:00,Carmen
354,2004-05-14,Oficina,Alquiler,Tarragona,209,1181686,2004-10-15 00:00:00,Carmen
356,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19 00:00:00,Pedro
357,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04 00:00:00,Joaquín
358,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18 00:00:00,Jesús
360,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10 00:00:00,Luisa
362,2004-05-18,Suelo,Alquiler,Girona,68,378624,2005-03-30 00:00:00,Carmen
363,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26 00:00:00,Luisa
367,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18 00:00:00,Carmen
368,2004-05-19,Casa,Alquiler,Barcelona,149,1238339,2004-12-27 00:00:00,Luisa
369,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14 00:00:00,Jesús
370,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08 00:00:00,Luisa
371,2004-05-20,Parking,Alquiler,Lleida,163,1317529,2005-05-03 00:00:00,Luisa
374,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10 00:00:00,María
375,2004-05-23,Industrial,Alquiler,Lleida,247,1210053,2004-09-04 00:00:00,Jesús
377,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17 00:00:00,María
379,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27 00:00:00,Carmen
380,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21 00:00:00,Joaquín
381,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24 00:00:00,Luisa
382,2004-05-26,Industrial,Alquiler,Lleida,298,1331166,2004-12-28 00:00:00,Joaquín
383,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20 00:00:00,Joaquín
384,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20 00:00:00,Luisa
386,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04 00:00:00,Joaquín
390,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29 00:00:00,Carmen
391,2004-05-30,Piso,Alquiler,Barcelona,202,1560450,2005-02-06 00:00:00,Jesús
392,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04 00:00:00,Pedro
394,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23 00:00:00,Carmen
395,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07 00:00:00,Jesús
396,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10 00:00:00,Joaquín
399,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22 00:00:00,Carmen
400,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02 00:00:00,Pedro
401,2004-06-02,Industrial,Alquiler,Lleida,278,2188138,2005-01-21 00:00:00,María
403,2004-06-03,Casa,Alquiler,Lleida,72,702576,2005-03-22 00:00:00,Carmen
404,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20 00:00:00,Jesús
405,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23 00:00:00,Carmen
406,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16 00:00:00,María
408,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05 00:00:00,Luisa
411,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14 00:00:00,María
412,2004-06-05,Piso,Alquiler,Tarragona,189,1527498,2005-05-14 00:00:00,Luisa
414,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17 00:00:00,Carmen
415,2004-06-07,Oficina,Alquiler,Lleida,201,1287807,2004-09-11 00:00:00,Carmen
416,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14 00:00:00,Luisa
417,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26 00:00:00,Joaquín
419,2004-06-08,Piso,Alquiler,Lleida,114,1019160,2005-05-29 00:00:00,Carmen
420,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05 00:00:00,Pedro
422,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16 00:00:00,Luisa
