,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
154,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02 00:00:00,Pedro
155,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01 00:00:00,Pedro
163,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13 00:00:00,Carmen
166,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14 00:00:00,Luisa
170,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13 00:00:00,Joaquín
172,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08 00:00:00,Joaquín
182,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02 00:00:00,Carmen
188,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25 00:00:00,Jesús
193,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14 00:00:00,Pedro
197,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14 00:00:00,Pedro
200,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09 00:00:00,Pedro
202,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16 00:00:00,Luisa
204,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04 00:00:00,Luisa
213,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26 00:00:00,Carmen
214,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13 00:00:00,Pedro
227,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12 00:00:00,Jesús
232,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05 00:00:00,Joaquín
233,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26 00:00:00,Carmen
235,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26 00:00:00,Carmen
245,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08 00:00:00,Jesús
247,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26 00:00:00,Pedro
255,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05 00:00:00,Carmen
266,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27 00:00:00,Carmen
267,2004-04-15,Industrial,Alquiler,Girona,150,968250,2005-02-15 00:00:00,María
274,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20 00:00:00,Pedro
275,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17 00:00:00,Pedro
277,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25 00:00:00,Carmen
278,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26 00:00:00,María
280,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13 00:00:00,Carmen
281,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28 00:00:00,Jesús
283,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20 00:00:00,Luisa
289,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27 00:00:00,Jesús
294,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21 00:00:00,Luisa
296,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28 00:00:00,Pedro
301,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22 00:00:00,Pedro
302,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30 00:00:00,Carmen
304,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18 00:00:00,Joaquín
311,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07 00:00:00,Luisa
319,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04 00:00:00,María
320,2004-05-03,Industrial,Alquiler,Girona,190,977740,2004-08-12 00:00:00,Pedro
329,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26 00:00:00,Pedro
331,2004-05-06,Local,Alquiler,Girona,138,877680,2005-03-31 00:00:00,Luisa
336,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15 00:00:00,Pedro
347,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26 00:00:00,Joaquín
349,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21 00:00:00,María
353,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30 00:00:00,Carmen
356,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19 00:00:00,Pedro
377,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17 00:00:00,María
378,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13 00:00:00,Jesús
380,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21 00:00:00,Joaquín
385,2004-05-26,Parking,Alquiler,Girona,184,830760,2004-09-13 00:00:00,Pedro
387,2004-05-28,Parking,Alquiler,Girona,137,835152,2005-02-13 00:00:00,Jesús
390,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29 00:00:00,Carmen
392,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04 00:00:00,Pedro
394,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23 00:00:00,Carmen
408,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05 00:00:00,Luisa
411,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14 00:00:00,María
417,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26 00:00:00,Joaquín
418,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06 00:00:00,Luisa
424,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11 00:00:00,María
434,2004-06-13,Industrial,Alquiler,Girona,233,1541528,2005-02-03 00:00:00,Jesús
436,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03 00:00:00,Luisa
438,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23 00:00:00,Luisa
442,2004-06-17,Piso,Alquiler,Girona,245,1001070,2004-10-14 00:00:00,Jesús
447,2004-06-17,Local,Alquiler,Girona,234,1159470,2004-10-02 00:00:00,Pedro
448,2004-06-17,Local,Venta,Girona,118,788948,2005-04-08 00:00:00,Pedro
452,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08 00:00:00,Jesús
458,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03 00:00:00,María
462,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01 00:00:00,Pedro
463,2004-06-24,Casa,Alquiler,Girona,143,836836,2005-06-15 00:00:00,Luisa
466,2004-06-24,Local,Venta,Girona,126,520758,2005-06-16 00:00:00,Pedro
473,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23 00:00:00,Jesús
478,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26 00:00:00,Luisa
483,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03 00:00:00,Luisa
485,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04 00:00:00,Luisa
496,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02 00:00:00,Pedro
516,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16 00:00:00,Pedro
517,2004-07-08,Casa,Venta,Girona,108,638064,2004-10-24 00:00:00,Luisa
522,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25 00:00:00,Carmen
525,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07 00:00:00,María
535,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30 00:00:00,Joaquín
536,2004-07-14,Local,Alquiler,Girona,117,1031121,2005-04-30 00:00:00,Luisa
537,2004-07-15,Industrial,Alquiler,Girona,279,2161134,2005-03-09 00:00:00,María
546,2004-07-20,Casa,Alquiler,Girona,200,1000000,2004-12-13 00:00:00,Jesús
548,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27 00:00:00,Carmen
550,2004-07-21,Piso,Alquiler,Girona,237,2215002,2004-10-31 00:00:00,Pedro
554,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25 00:00:00,Luisa
556,2004-07-23,Piso,Alquiler,Girona,198,1916442,2005-04-14 00:00:00,Joaquín
557,2004-07-24,Piso,Alquiler,Girona,246,1875012,2005-03-08 00:00:00,Luisa
561,2004-07-25,Piso,Alquiler,Girona,161,960526,2005-06-21 00:00:00,Joaquín
565,2004-07-26,Local,Alquiler,Girona,266,1881950,2005-01-15 00:00:00,María
577,2004-07-29,Oficina,Venta,Girona,221,1571973,2004-12-25 00:00:00,Joaquín
578,2004-07-29,Industrial,Venta,Girona,148,811780,2005-04-17 00:00:00,Luisa
583,2004-08-01,Casa,Alquiler,Girona,257,1077601,2005-02-07 00:00:00,Luisa
584,2004-08-01,Parking,Alquiler,Girona,161,1050203,2005-02-04 00:00:00,Joaquín
591,2004-08-03,Parking,Alquiler,Girona,145,999630,2005-05-01 00:00:00,Pedro
600,2004-08-08,Casa,Alquiler,Girona,147,919632,2005-06-23 00:00:00,Luisa
601,2004-08-09,Industrial,Venta,Girona,227,1218763,2005-07-27 00:00:00,Joaquín
624,2004-08-15,Industrial,Alquiler,Girona,222,2171826,2005-01-12 00:00:00,Carmen
628,2004-08-17,Piso,Venta,Girona,249,1427019,2004-12-04 00:00:00,Jesús
629,2004-08-17,Parking,Alquiler,Girona,170,1567060,2005-02-19 00:00:00,María
631,2004-08-17,Piso,Venta,Girona,201,1816437,2005-05-10 00:00:00,Pedro
632,2004-08-17,Parking,Alquiler,Girona,167,1191044,2005-01-11 00:00:00,Luisa
634,2004-08-18,Local,Alquiler,Girona,197,981651,2005-01-17 00:00:00,Jesús
638,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04 00:00:00,Carmen
640,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02 00:00:00,María
641,2004-08-20,Industrial,Venta,Girona,119,711382,2005-08-01 00:00:00,Luisa
647,2004-08-21,Oficina,Venta,Girona,267,1153173,2005-03-28 00:00:00,Pedro
650,2004-08-22,Piso,Venta,Girona,207,1015956,2005-06-17 00:00:00,Jesús
651,2004-08-22,Oficina,Alquiler,Girona,259,1080548,2004-12-31 00:00:00,María
653,2004-08-22,Oficina,Alquiler,Girona,207,1953873,2005-06-10 00:00:00,Luisa
654,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23 00:00:00,Luisa
660,2004-08-23,Local,Venta,Girona,278,1730550,2004-12-09 00:00:00,María
661,2004-08-24,Parking,Alquiler,Girona,254,1963166,2005-07-27 00:00:00,Joaquín
663,2004-08-24,Local,Alquiler,Girona,252,2057832,2005-03-14 00:00:00,Luisa
664,2004-08-25,Local,Alquiler,Girona,163,1520627,2005-04-20 00:00:00,Pedro
673,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04 00:00:00,Pedro
690,2004-09-02,Casa,Alquiler,Girona,118,827062,2005-03-22 00:00:00,Joaquín
697,2004-09-05,Parking,Alquiler,Girona,187,789140,2005-05-16 00:00:00,Carmen
699,2004-09-06,Local,Alquiler,Girona,299,1251315,2005-01-20 00:00:00,Luisa
700,2004-09-06,Casa,Venta,Girona,225,2023200,2004-12-27 00:00:00,Joaquín
701,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14 00:00:00,Carmen
705,2004-09-08,Piso,Alquiler,Girona,258,1501560,2005-01-05 00:00:00,Joaquín
706,2004-09-08,Industrial,Venta,Girona,215,1713120,2005-05-27 00:00:00,Carmen
717,2004-09-11,Suelo,Alquiler,Girona,161,736092,2005-02-26 00:00:00,María
725,2004-09-13,Parking,Venta,Girona,112,1081360,2005-05-03 00:00:00,María
726,2004-09-15,Suelo,Alquiler,Girona,195,1168440,2004-12-30 00:00:00,Luisa
730,2004-09-16,Casa,Venta,Girona,109,555246,2005-04-10 00:00:00,Joaquín
732,2004-09-17,Oficina,Alquiler,Girona,164,1225244,2005-08-07 00:00:00,Jesús
747,2004-09-22,Industrial,Alquiler,Girona,228,2145480,2005-06-21 00:00:00,María
749,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14 00:00:00,Carmen
750,2004-09-23,Parking,Venta,Girona,132,556116,2005-09-11 00:00:00,Luisa
762,2004-09-27,Piso,Alquiler,Girona,291,2411808,2005-02-28 00:00:00,Joaquín
763,2004-09-27,Oficina,Alquiler,Girona,210,1122240,2005-08-27 00:00:00,Pedro
764,2004-09-28,Local,Alquiler,Girona,291,2354481,2005-01-26 00:00:00,Carmen
765,2004-09-29,Piso,Alquiler,Girona,204,1044480,2005-04-17 00:00:00,Jesús
767,2004-09-29,Piso,Venta,Girona,231,1213212,2005-06-24 00:00:00,Carmen
782,2004-10-06,Oficina,Alquiler,Girona,219,1455693,2005-01-28 00:00:00,Joaquín
790,2004-10-08,Industrial,Venta,Girona,113,869196,2005-07-28 00:00:00,Jesús
797,2004-10-11,Piso,Venta,Girona,222,1478742,2005-09-24 00:00:00,Jesús
803,2004-10-13,Industrial,Venta,Girona,114,580032,2005-03-28 00:00:00,Jesús
807,2004-10-15,Oficina,Alquiler,Girona,119,630224,2005-04-09 00:00:00,Joaquín
812,2004-10-17,Casa,Venta,Girona,138,733470,2005-04-04 00:00:00,Pedro
820,2004-10-19,Parking,Venta,Girona,161,1392006,2005-07-12 00:00:00,María
825,2004-10-21,Oficina,Alquiler,Girona,239,1709567,2005-06-10 00:00:00,Jesús
830,2004-10-24,Parking,Venta,Girona,115,880900,2005-07-04 00:00:00,Carmen
836,2004-10-27,Local,Venta,Girona,127,1021334,2005-05-21 00:00:00,Joaquín
839,2004-10-27,Parking,Alquiler,Girona,114,1040478,2005-04-29 00:00:00,Carmen
840,2004-10-27,Piso,Venta,Girona,120,1061160,2005-04-13 00:00:00,Luisa
846,2004-10-31,Piso,Alquiler,Girona,121,731929,2005-06-27 00:00:00,Pedro
849,2004-11-01,Piso,Alquiler,Girona,159,1391091,2005-06-16 00:00:00,Carmen
850,2004-11-01,Casa,Alquiler,Girona,157,1032118,2005-06-16 00:00:00,Luisa
851,2004-11-02,Casa,Alquiler,Girona,237,1768020,2005-04-27 00:00:00,Luisa
854,2004-11-03,Suelo,Venta,Girona,223,1650200,2005-08-28 00:00:00,Carmen
856,2004-11-03,Industrial,Venta,Girona,238,2379048,2005-09-08 00:00:00,María
863,2004-11-06,Industrial,Venta,Girona,108,553608,2005-02-04 00:00:00,Luisa
864,2004-11-06,Parking,Alquiler,Girona,110,523160,2005-09-11 00:00:00,Joaquín
865,2004-11-07,Parking,Venta,Girona,136,1054544,2005-09-18 00:00:00,María
871,2004-11-09,Piso,Alquiler,Girona,185,1390460,2005-08-29 00:00:00,Jesús
874,2004-11-09,Oficina,Alquiler,Girona,147,1259202,2005-05-03 00:00:00,Pedro
882,2004-11-11,Piso,Venta,Girona,266,1370964,2005-10-22 00:00:00,María
883,2004-11-11,Piso,Venta,Girona,125,590875,2005-09-20 00:00:00,Carmen
885,2004-11-12,Piso,Venta,Girona,133,1191281,2005-06-28 00:00:00,Joaquín
890,2004-11-13,Casa,Venta,Girona,255,2543625,2005-08-29 00:00:00,Pedro
900,2004-11-16,Parking,Alquiler,Girona,294,1653456,2005-07-18 00:00:00,Pedro
904,2004-11-18,Local,Alquiler,Girona,116,479892,2005-11-11 00:00:00,Joaquín
907,2004-11-18,Parking,Venta,Girona,134,933444,2005-04-17 00:00:00,Pedro
914,2004-11-20,Oficina,Venta,Girona,285,1869885,2005-08-10 00:00:00,Jesús
923,2004-11-25,Parking,Alquiler,Girona,283,2213909,2005-05-10 00:00:00,Luisa
933,2004-11-29,Casa,Alquiler,Girona,228,2212740,2005-10-10 00:00:00,Jesús
935,2004-12-01,Parking,Alquiler,Girona,116,573040,2005-11-01 00:00:00,María
936,2004-12-01,Industrial,Alquiler,Girona,276,1932552,2005-10-20 00:00:00,María
938,2004-12-01,Industrial,Alquiler,Girona,216,1962360,2005-05-17 00:00:00,Pedro
945,2004-12-04,Piso,Venta,Girona,243,1447551,2005-09-13 00:00:00,Pedro
947,2004-12-05,Piso,Alquiler,Girona,237,1725597,2005-07-07 00:00:00,Pedro
949,2004-12-05,Piso,Venta,Girona,233,2153852,2005-03-11 00:00:00,Pedro
952,2004-12-07,Casa,Alquiler,Girona,240,1510320,2005-10-19 00:00:00,Carmen
954,2004-12-09,Suelo,Venta,Girona,200,1938400,2005-08-25 00:00:00,María
959,2004-12-10,Suelo,Venta,Girona,275,1732500,2005-07-10 00:00:00,Joaquín
963,2004-12-11,Suelo,Venta,Girona,185,1038590,2005-07-15 00:00:00,Luisa
966,2004-12-12,Piso,Venta,Girona,175,722925,2005-03-18 00:00:00,Carmen
969,2004-12-14,Piso,Alquiler,Girona,232,1193408,2005-06-07 00:00:00,Luisa
971,2004-12-14,Piso,Venta,Girona,219,1059303,2005-07-27 00:00:00,Joaquín
980,2004-12-18,Local,Venta,Girona,278,2273762,2005-11-30 00:00:00,Pedro
991,2004-12-22,Piso,Alquiler,Girona,281,2326118,2005-07-22 00:00:00,María
993,2004-12-22,Local,Venta,Girona,187,1346961,2005-12-20 00:00:00,Joaquín
997,2004-12-23,Local,Venta,Girona,219,2101743,2005-07-30 00:00:00,Luisa
1004,2004-12-26,Oficina,Alquiler,Girona,159,1437360,2005-06-12 00:00:00,Luisa
1009,2004-12-27,Parking,Venta,Girona,211,945702,2005-12-04 00:00:00,Luisa
1016,2005-01-01,Parking,Venta,Girona,217,2101862,2005-10-23 00:00:00,Carmen
1022,2005-01-03,Oficina,Venta,Girona,105,889980,2005-10-16 00:00:00,Pedro
1033,2005-01-06,Industrial,Alquiler,Girona,153,923355,2005-07-07 00:00:00,Luisa
1044,2005-01-11,Parking,Alquiler,Girona,260,2402920,2005-10-09 00:00:00,Joaquín
1045,2005-01-11,Suelo,Alquiler,Girona,240,1823280,2005-09-04 00:00:00,Luisa
1058,2005-01-16,Oficina,Venta,Girona,133,573230,2005-09-20 00:00:00,Jesús
1065,2005-01-20,Suelo,Venta,Girona,287,2808008,2005-06-24 00:00:00,Pedro
1070,2005-01-21,Parking,Venta,Girona,118,1134452,2005-04-27 00:00:00,Carmen
1071,2005-01-22,Piso,Alquiler,Girona,132,592152,2005-04-23 00:00:00,Carmen
1083,2005-01-25,Parking,Alquiler,Girona,287,1370138,2005-05-03 00:00:00,Joaquín
1092,2005-01-31,Parking,Alquiler,Girona,222,2209344,2005-09-09 00:00:00,Carmen
1105,2005-02-04,Oficina,Venta,Girona,141,1279434,2005-09-26 00:00:00,Carmen
1116,2005-02-08,Casa,Alquiler,Girona,154,1037498,2005-09-20 00:00:00,Luisa
1119,2005-02-10,Local,Venta,Girona,180,1707660,2005-07-28 00:00:00,Joaquín
1121,2005-02-11,Piso,Venta,Girona,228,1339044,2005-12-14 00:00:00,Pedro
1122,2005-02-11,Oficina,Venta,Girona,157,879357,2005-05-17 00:00:00,Joaquín
1123,2005-02-11,Piso,Venta,Girona,208,1215344,2005-05-27 00:00:00,Jesús
1128,2005-02-14,Oficina,Alquiler,Girona,119,899640,2005-12-12 00:00:00,Pedro
1151,2005-02-19,Local,Venta,Girona,224,1966272,2005-12-02 00:00:00,Pedro
1156,2005-02-20,Local,Venta,Girona,254,1614170,2006-01-18 00:00:00,María
1167,2005-02-24,Piso,Venta,Girona,206,1136502,2006-01-22 00:00:00,Pedro
1171,2005-02-24,Oficina,Venta,Girona,188,1697640,2005-08-04 00:00:00,Luisa
1181,2005-03-01,Suelo,Venta,Girona,177,1203246,2006-02-20 00:00:00,Carmen
1185,2005-03-03,Casa,Alquiler,Girona,151,756208,2006-02-13 00:00:00,Luisa
1189,2005-03-03,Parking,Venta,Girona,153,1401633,2005-09-14 00:00:00,Carmen
1191,2005-03-04,Casa,Alquiler,Girona,235,2055310,2006-01-03 00:00:00,Jesús
1195,2005-03-05,Suelo,Venta,Girona,124,614048,2005-07-13 00:00:00,Joaquín
1207,2005-03-08,Suelo,Alquiler,Girona,236,1449512,2006-02-05 00:00:00,Joaquín
1213,2005-03-10,Casa,Alquiler,Girona,145,655690,2005-06-08 00:00:00,María
1217,2005-03-11,Piso,Venta,Girona,241,1729416,2005-09-18 00:00:00,Carmen
1222,2005-03-12,Parking,Venta,Girona,181,1805475,2005-06-10 00:00:00,María
1224,2005-03-14,Parking,Venta,Girona,164,785068,2006-01-22 00:00:00,Jesús
1226,2005-03-14,Industrial,Alquiler,Girona,164,1526840,2005-10-20 00:00:00,María
1229,2005-03-15,Suelo,Venta,Girona,268,2422720,2005-11-27 00:00:00,Carmen
1237,2005-03-19,Casa,Venta,Girona,192,820608,2005-07-28 00:00:00,Luisa
1244,2005-03-20,Parking,Venta,Girona,276,1477428,2005-11-23 00:00:00,María
1249,2005-03-23,Piso,Venta,Girona,163,1362843,2006-01-31 00:00:00,Luisa
1255,2005-03-24,Piso,Venta,Girona,168,1620192,2005-10-09 00:00:00,María
1256,2005-03-25,Parking,Venta,Girona,117,1149525,2006-02-27 00:00:00,Pedro
1267,2005-03-30,Industrial,Alquiler,Girona,167,1191044,2006-03-30 00:00:00,Joaquín
1271,2005-03-30,Suelo,Alquiler,Girona,216,1500984,2005-10-23 00:00:00,Joaquín
1272,2005-03-31,Piso,Venta,Girona,283,1599233,2005-11-04 00:00:00,Pedro
1280,2005-04-04,Piso,Venta,Girona,176,1004608,2006-01-06 00:00:00,Jesús
1282,2005-04-04,Local,Alquiler,Girona,179,812660,2005-10-31 00:00:00,Jesús
1285,2005-04-05,Parking,Alquiler,Girona,297,2872287,2005-09-16 00:00:00,Luisa
1294,2005-04-07,Oficina,Alquiler,Girona,214,899228,2005-12-24 00:00:00,Luisa
1296,2005-04-07,Industrial,Venta,Girona,230,1751450,2005-07-07 00:00:00,Jesús
1298,2005-04-09,Local,Venta,Girona,290,1702590,2006-04-09 00:00:00,Pedro
1301,2005-04-11,Casa,Venta,Girona,288,2371392,2005-11-17 00:00:00,Luisa
1306,2005-04-15,Industrial,Venta,Girona,264,2589312,2005-07-20 00:00:00,Pedro
1310,2005-04-15,Casa,Alquiler,Girona,185,1059680,2005-07-14 00:00:00,Pedro
1311,2005-04-16,Oficina,Venta,Girona,180,1523880,2005-11-11 00:00:00,Jesús
1319,2005-04-18,Piso,Alquiler,Girona,164,841484,2006-04-07 00:00:00,María
1320,2005-04-18,Local,Alquiler,Girona,271,2478566,2005-07-21 00:00:00,Pedro
1328,2005-04-20,Oficina,Venta,Girona,182,1367366,2005-07-21 00:00:00,Carmen
1340,2005-04-25,Local,Venta,Girona,132,1007688,2005-12-26 00:00:00,Luisa
1351,2005-04-27,Piso,Venta,Girona,189,1064637,2005-11-29 00:00:00,Jesús
1362,2005-04-30,Casa,Venta,Girona,157,729579,2006-01-01 00:00:00,Joaquín
1374,2005-05-04,Casa,Venta,Girona,175,1363950,2005-09-11 00:00:00,Jesús
1379,2005-05-06,Industrial,Venta,Girona,192,958464,2005-08-13 00:00:00,Jesús
1382,2005-05-06,Industrial,Venta,Girona,167,814793,2006-02-27 00:00:00,Luisa
1387,2005-05-08,Casa,Venta,Girona,270,2288520,2005-11-02 00:00:00,Joaquín
1388,2005-05-08,Parking,Venta,Girona,203,1892772,2006-03-26 00:00:00,María
1390,2005-05-09,Industrial,Alquiler,Girona,160,804640,2006-04-03 00:00:00,Carmen
1391,2005-05-09,Suelo,Alquiler,Girona,235,1046925,2005-12-05 00:00:00,Carmen
1394,2005-05-10,Local,Venta,Girona,252,1923264,2005-09-21 00:00:00,Carmen
1398,2005-05-11,Oficina,Venta,Girona,166,804768,2005-12-04 00:00:00,María
1402,2005-05-14,Suelo,Alquiler,Girona,254,2417572,2005-09-20 00:00:00,María
1411,2005-05-18,Industrial,Alquiler,Girona,233,2120067,2006-02-24 00:00:00,Jesús
1421,2005-05-22,Parking,Alquiler,Girona,282,1132230,2006-03-20 00:00:00,Pedro
1426,2005-05-24,Parking,Alquiler,Girona,223,2228439,2005-09-17 00:00:00,Carmen
1438,2005-05-28,Industrial,Venta,Girona,233,1306664,2005-10-30 00:00:00,Luisa
1439,2005-05-28,Parking,Venta,Girona,255,1504755,2005-10-31 00:00:00,Luisa
1457,2005-06-05,Parking,Venta,Girona,277,1691085,2005-11-19 00:00:00,Pedro
1459,2005-06-06,Oficina,Alquiler,Girona,228,1039452,2006-01-11 00:00:00,Carmen
1460,2005-06-06,Local,Venta,Girona,129,563085,2005-12-18 00:00:00,Jesús
1463,2005-06-07,Casa,Venta,Girona,179,1393157,2005-11-26 00:00:00,Luisa
1485,2005-06-15,Local,Alquiler,Girona,167,1121906,2005-11-12 00:00:00,Carmen
1490,2005-06-16,Oficina,Alquiler,Girona,138,1241034,2006-06-05 00:00:00,Carmen
1494,2005-06-17,Casa,Venta,Girona,199,1590010,2006-04-13 00:00:00,Carmen
1501,2005-06-21,Industrial,Venta,Girona,120,1175160,2005-11-28 00:00:00,Carmen
